city,year,weekofyear,total_cases
sj,2010,42,40
sj,2010,43,16
sj,2010,44,21
sj,2010,45,43
sj,2010,46,13
sj,2010,47,14
sj,2010,48,23
sj,2010,49,10
sj,2010,50,15
sj,2010,51,12
sj,2011,52,16
sj,2011,1,17
sj,2011,2,22
sj,2011,3,27
sj,2011,4,20
sj,2011,5,19
sj,2011,6,27
sj,2011,7,19
sj,2011,8,12
sj,2011,9,20
sj,2011,10,13
sj,2011,11,18
sj,2011,12,17
sj,2011,13,18
sj,2011,14,32
sj,2011,15,21
sj,2011,16,15
sj,2011,17,11
sj,2011,18,12
sj,2011,19,22
sj,2011,20,35
sj,2011,21,31
sj,2011,22,15
sj,2011,23,19
sj,2011,24,78
sj,2011,25,33
sj,2011,26,18
sj,2011,27,42
sj,2011,28,34
sj,2011,29,100
sj,2011,30,35
sj,2011,31,55
sj,2011,32,37
sj,2011,33,36
sj,2011,34,74
sj,2011,35,69
sj,2011,36,30
sj,2011,37,28
sj,2011,38,33
sj,2011,39,53
sj,2011,40,34
sj,2011,41,35
sj,2011,42,40
sj,2011,43,16
sj,2011,44,33
sj,2011,45,44
sj,2011,46,21
sj,2011,47,32
sj,2011,48,26
sj,2011,49,19
sj,2011,50,22
sj,2011,51,19
sj,2012,52,19
sj,2012,1,34
sj,2012,2,22
sj,2012,3,29
sj,2012,4,19
sj,2012,5,23
sj,2012,6,13
sj,2012,7,12
sj,2012,8,21
sj,2012,9,26
sj,2012,10,25
sj,2012,11,15
sj,2012,12,13
sj,2012,13,16
sj,2012,14,16
sj,2012,15,15
sj,2012,16,30
sj,2012,17,21
sj,2012,18,37
sj,2012,19,38
sj,2012,20,38
sj,2012,21,13
sj,2012,22,26
sj,2012,23,27
sj,2012,24,15
sj,2012,25,42
sj,2012,26,12
sj,2012,27,17
sj,2012,28,22
sj,2012,29,38
sj,2012,30,31
sj,2012,31,39
sj,2012,32,32
sj,2012,33,35
sj,2012,34,25
sj,2012,35,34
sj,2012,36,59
sj,2012,37,42
sj,2012,38,30
sj,2012,39,57
sj,2012,40,65
sj,2012,41,37
sj,2012,42,23
sj,2012,43,23
sj,2012,44,16
sj,2012,45,23
sj,2012,46,42
sj,2012,47,23
sj,2012,48,15
sj,2012,49,17
sj,2012,50,18
sj,2012,51,12
sj,2013,1,20
sj,2013,2,19
sj,2013,3,18
sj,2013,4,10
sj,2013,5,18
sj,2013,6,13
sj,2013,7,21
sj,2013,8,13
sj,2013,9,23
sj,2013,10,18
sj,2013,11,18
sj,2013,12,11
sj,2013,13,7
sj,2013,14,19
sj,2013,15,8
sj,2013,16,17
sj,2013,17,16
iq,2010,26,5
iq,2010,27,5
iq,2010,28,6
iq,2010,29,3
iq,2010,30,2
iq,2010,31,5
iq,2010,32,2
iq,2010,33,4
iq,2010,34,1
iq,2010,35,0
iq,2010,36,9
iq,2010,37,4
iq,2010,38,9
iq,2010,39,3
iq,2010,40,9
iq,2010,41,7
iq,2010,42,15
iq,2010,43,5
iq,2010,44,5
iq,2010,45,12
iq,2010,46,10
iq,2010,47,5
iq,2010,48,4
iq,2010,49,7
iq,2010,50,5
iq,2010,51,6
iq,2011,52,5
iq,2011,1,5
iq,2011,2,25
iq,2011,3,5
iq,2011,4,7
iq,2011,5,7
iq,2011,6,6
iq,2011,7,5
iq,2011,8,10
iq,2011,9,19
iq,2011,10,7
iq,2011,11,15
iq,2011,12,12
iq,2011,13,5
iq,2011,14,8
iq,2011,15,4
iq,2011,16,7
iq,2011,17,8
iq,2011,18,9
iq,2011,19,2
iq,2011,20,4
iq,2011,21,4
iq,2011,22,3
iq,2011,23,3
iq,2011,24,3
iq,2011,25,2
iq,2011,26,1
iq,2011,27,2
iq,2011,28,1
iq,2011,29,3
iq,2011,30,2
iq,2011,31,3
iq,2011,32,4
iq,2011,33,6
iq,2011,34,5
iq,2011,35,1
iq,2011,36,3
iq,2011,37,1
iq,2011,38,2
iq,2011,39,3
iq,2011,40,4
iq,2011,41,16
iq,2011,42,9
iq,2011,43,14
iq,2011,44,6
iq,2011,45,16
iq,2011,46,7
iq,2011,47,6
iq,2011,48,5
iq,2011,49,9
iq,2011,50,6
iq,2011,51,9
iq,2012,52,25
iq,2012,1,5
iq,2012,2,6
iq,2012,3,11
iq,2012,4,3
iq,2012,5,8
iq,2012,6,6
iq,2012,7,5
iq,2012,8,5
iq,2012,9,3
iq,2012,10,10
iq,2012,11,4
iq,2012,12,1
iq,2012,13,15
iq,2012,14,5
iq,2012,15,22
iq,2012,16,15
iq,2012,17,5
iq,2012,18,6
iq,2012,19,2
iq,2012,20,4
iq,2012,21,1
iq,2012,22,3
iq,2012,23,3
iq,2012,24,5
iq,2012,25,3
iq,2012,26,1
iq,2012,27,2
iq,2012,28,2
iq,2012,29,4
iq,2012,30,3
iq,2012,31,2
iq,2012,32,2
iq,2012,33,4
iq,2012,34,1
iq,2012,35,1
iq,2012,36,2
iq,2012,37,3
iq,2012,38,3
iq,2012,39,6
iq,2012,40,4
iq,2012,41,15
iq,2012,42,4
iq,2012,43,13
iq,2012,44,4
iq,2012,45,14
iq,2012,46,5
iq,2012,47,10
iq,2012,48,9
iq,2012,49,6
iq,2012,50,8
iq,2012,51,3
iq,2013,1,23
iq,2013,2,3
iq,2013,3,4
iq,2013,4,12
iq,2013,5,8
iq,2013,6,11
iq,2013,7,10
iq,2013,8,9
iq,2013,9,12
iq,2013,10,11
iq,2013,11,6
iq,2013,12,22
iq,2013,13,9
iq,2013,14,15
iq,2013,15,9
iq,2013,16,8
iq,2013,17,8
iq,2013,18,3
iq,2013,19,8
iq,2013,20,8
iq,2013,21,3
iq,2013,22,6
iq,2013,23,5
iq,2013,24,3
iq,2013,25,1
iq,2013,26,4
