city,year,weekofyear,total_cases
sj,2011,27,32
sj,2011,28,30
sj,2011,29,22
sj,2011,30,49
sj,2011,31,41
sj,2011,32,42
sj,2011,33,38
sj,2011,34,31
sj,2011,35,29
sj,2011,36,30
sj,2011,37,27
sj,2011,38,28
sj,2011,39,27
sj,2011,40,30
sj,2011,41,27
sj,2011,42,22
sj,2011,43,9
sj,2011,44,26
sj,2011,45,14
sj,2011,46,24
sj,2011,47,23
sj,2011,48,16
sj,2011,49,20
sj,2011,50,20
sj,2011,51,15
sj,2012,52,9
sj,2012,1,23
sj,2012,2,20
sj,2012,3,15
sj,2012,4,17
sj,2012,5,9
sj,2012,6,21
sj,2012,7,8
sj,2012,8,21
sj,2012,9,10
sj,2012,10,11
sj,2012,11,14
sj,2012,12,9
sj,2012,13,19
sj,2012,14,15
sj,2012,15,12
sj,2012,16,17
sj,2012,17,8
sj,2012,18,21
sj,2012,19,15
sj,2012,20,20
sj,2012,21,9
sj,2012,22,12
sj,2012,23,21
sj,2012,24,20
sj,2012,25,27
sj,2012,26,25
sj,2012,27,34
sj,2012,28,28
sj,2012,29,20
sj,2012,30,30
sj,2012,31,22
sj,2012,32,26
sj,2012,33,24
sj,2012,34,24
sj,2012,35,19
sj,2012,36,25
sj,2012,37,27
sj,2012,38,21
sj,2012,39,29
sj,2012,40,36
sj,2012,41,17
sj,2012,42,61
sj,2012,43,30
sj,2012,44,42
sj,2012,45,21
sj,2012,46,18
sj,2012,47,20
sj,2012,48,10
sj,2012,49,18
sj,2012,50,14
sj,2012,51,10
sj,2013,1,16
sj,2013,2,17
sj,2013,3,6
sj,2013,4,7
sj,2013,5,19
sj,2013,6,15
sj,2013,7,15
sj,2013,8,9
sj,2013,9,8
sj,2013,10,11
sj,2013,11,11
sj,2013,12,10
sj,2013,13,9
sj,2013,14,8
sj,2013,15,9
sj,2013,16,18
sj,2013,17,19
iq,2010,26,5
iq,2010,27,3
iq,2010,28,5
iq,2010,29,3
iq,2010,30,2
iq,2010,31,2
iq,2010,32,3
iq,2010,33,2
iq,2010,34,1
iq,2010,35,2
iq,2010,36,3
iq,2010,37,1
iq,2010,38,3
iq,2010,39,1
iq,2010,40,7
iq,2010,41,2
iq,2010,42,4
iq,2010,43,5
iq,2010,44,4
iq,2010,45,8
iq,2010,46,4
iq,2010,47,5
iq,2010,48,5
iq,2010,49,5
iq,2010,50,5
iq,2010,51,3
iq,2011,52,2
iq,2011,1,3
iq,2011,2,4
iq,2011,3,4
iq,2011,4,2
iq,2011,5,2
iq,2011,6,5
iq,2011,7,5
iq,2011,8,7
iq,2011,9,5
iq,2011,10,6
iq,2011,11,5
iq,2011,12,7
iq,2011,13,6
iq,2011,14,6
iq,2011,15,4
iq,2011,16,4
iq,2011,17,5
iq,2011,18,5
iq,2011,19,2
iq,2011,20,3
iq,2011,21,5
iq,2011,22,3
iq,2011,23,2
iq,2011,24,3
iq,2011,25,2
iq,2011,26,2
iq,2011,27,2
iq,2011,28,2
iq,2011,29,2
iq,2011,30,1
iq,2011,31,2
iq,2011,32,2
iq,2011,33,3
iq,2011,34,2
iq,2011,35,3
iq,2011,36,2
iq,2011,37,2
iq,2011,38,2
iq,2011,39,4
iq,2011,40,2
iq,2011,41,5
iq,2011,42,6
iq,2011,43,4
iq,2011,44,4
iq,2011,45,4
iq,2011,46,6
iq,2011,47,5
iq,2011,48,5
iq,2011,49,6
iq,2011,50,5
iq,2011,51,5
iq,2012,52,6
iq,2012,1,4
iq,2012,2,5
iq,2012,3,3
iq,2012,4,2
iq,2012,5,6
iq,2012,6,6
iq,2012,7,4
iq,2012,8,3
iq,2012,9,2
iq,2012,10,4
iq,2012,11,2
iq,2012,12,2
iq,2012,13,6
iq,2012,14,2
iq,2012,15,6
iq,2012,16,6
iq,2012,17,5
iq,2012,18,6
iq,2012,19,2
iq,2012,20,4
iq,2012,21,2
iq,2012,22,3
iq,2012,23,2
iq,2012,24,4
iq,2012,25,2
iq,2012,26,1
iq,2012,27,2
iq,2012,28,2
iq,2012,29,2
iq,2012,30,3
iq,2012,31,2
iq,2012,32,2
iq,2012,33,2
iq,2012,34,3
iq,2012,35,2
iq,2012,36,2
iq,2012,37,2
iq,2012,38,2
iq,2012,39,3
iq,2012,40,2
iq,2012,41,5
iq,2012,42,3
iq,2012,43,5
iq,2012,44,5
iq,2012,45,5
iq,2012,46,5
iq,2012,47,5
iq,2012,48,5
iq,2012,49,5
iq,2012,50,6
iq,2012,51,6
iq,2013,1,6
iq,2013,2,2
iq,2013,3,3
iq,2013,4,7
iq,2013,5,4
iq,2013,6,6
iq,2013,7,6
iq,2013,8,6
iq,2013,9,5
iq,2013,10,5
iq,2013,11,7
iq,2013,12,6
iq,2013,13,5
iq,2013,14,6
iq,2013,15,5
iq,2013,16,5
iq,2013,17,5
iq,2013,18,3
iq,2013,19,6
iq,2013,20,5
iq,2013,21,3
iq,2013,22,3
iq,2013,23,3
iq,2013,24,1
iq,2013,25,2
iq,2013,26,3
